time,num_particles,cell_id,temperature,atm_pressure,humidity,wind_direction,wind_speed
Saturday,15039.6305908338,2542,8.5002760905577,762.30054,80.53396,10.5124240750966,1.58972943125345
Sunday,10196.8789428815,2542,9.08610400682012,760.55585,75.98721,11.7229326513214,2.33248081841432
Thursday,17484.4984126984,2542,10.4412698412698,760.38446,79.25044,12.3513227513228,1.71569664902998
Tuesday,15006.3443380654,2542,8.81313965004952,760.87885,78.39749,12.1779465170023,1.95873225486959
Wednesday,16542.685891748,2542,9.36764270925762,761.18427,73.960365,10.9588879029873,1.63265306122449
Friday,23337.3847625882,6973,7.15847386676235,762.85236,82.7187,10.7473986365267,1.52900370769047
Monday,21467.6239737274,6973,6.7384236453202,762.7522,80.4491,10.716091954023,1.64121510673235
Saturday,14837.7267267267,6973,9.0002002002002,762.6713,82.40901,11.6354354354354,1.88968968968969
Sunday,11675.1917137476,6973,8.28135593220339,763.72217,83.61281,10.9039548022599,1.29190207156309
Thursday,24540.7226758794,6973,9.12876884422111,760.06714,76.15965,12.0282663316583,1.59202261306533
Tuesday,23871.7619693978,6973,7.71137709772952,760.7357,81.21804,12.0055528134255,1.43953603158934
Wednesday,21278.2370952445,6973,8.18859233166238,760.13995,77.290474,11.4442487467823,2.04647066793117
Friday,20975.6565720129,6510,9.57232753873987,761.9322,78.24361,11.2672854558326,1.61417446708094
Monday,19768.8271204396,6510,9.92392239952327,761.7506,73.45991,10.7223068264583,1.85479706018672
Saturday,17191.1008388675,6510,8.26406850751486,759.0157,83.19241,9.11219853198183,1.13509262495631
Sunday,18444.5278425883,6510,8.31054596360243,763.7746,77.35931,11.8425104993,1.78721418572095
Thursday,20297.9706235667,6510,7.81325761712351,760.42926,80.8589,10.8871901277711,1.7455498525718
Tuesday,18757.4065794128,6510,10.3288291475062,762.791,76.24683,10.7209762999646,1.58429430491687
Wednesday,21477.5839381657,6510,8.14761051937035,761.9168,77.14704,11.1936091997361,1.50824771420492
Friday,19458.1114429718,8436,11.6269678302533,763.0293,77.33843,11.5553481426171,1.66343102482733
Monday,20299.8935193915,8436,12.0008171475266,763.39294,76.244514,12.0108743478534,1.59293481677038
Saturday,14467.3868410354,8436,12.6565252744274,763.1176,77.00887,10.9809594796043,1.66011654695758
Sunday,12051.9027004219,8436,14.3222784810127,764.0487,73.25367,12.5938396624473,2.01198312236287
Thursday,20841.3889173607,8436,12.254131966688,761.5637,75.75035,11.6483664317745,1.79314541960282
Tuesday,21927.0554062886,8436,11.882506717014,763.3269,76.44986,10.979086486094,1.56205068622468
Wednesday,21525.4494739276,8436,11.9418429876286,763.3744,73.71737,11.6473002659267,1.87645970632443
